6,Groningen,20,10,4,6,34,+5
1,Bodø/Glimt,30,26,3,1,81,+71
2,Molde,30,20,2,8,62,+41
3,Vålerenga,30,15,10,5,55,+18
4,Rosenborg,30,15,7,8,52,+15
5,Kristiansund,30,12,12,6,48,+12
6,Viking,30,12,8,10,44,+2
1,12 de Octubre,11,6,2,3,20,+3
2,Nacional,11,4,7,0,19,+6
3,Cerro Porteño,11,5,4,2,19,+5
4,Libertad,11,5,3,3,18,+5
5,Guaraní,11,5,3,3,18,+4
6,Olimpia,11,5,2,4,17,+4
1,Sporting Cristal,9,7,2,0,23,+11
2,USMP,9,5,1,3,16,+2
3,UTC,9,3,5,1,14,+9
4,Cienciano,9,4,2,3,14,+1
5,Binacional,9,4,1,4,13,-2
6,Universitario,9,3,2,4,11,-5
1,Ayacucho,9,6,2,1,20,+9
2,U César Vallejo,9,5,3,1,18,+9
3,Mannucci,9,5,1,3,16,+6
4,Cusco,9,4,3,2,15,+3
5,Melgar,9,4,1,4,13,+4
6,Sport Boys,9,4,0,5,12,-8
1,Pogoń Szczecin,15,9,4,2,31,+13
2,Legia Warsaw,15,9,2,4,29,+7
3,RKS Raków,15,8,4,3,28,+11
4,Górnik Zabrze,15,7,3,5,24,+4
5,Śląsk Wrocław,14,7,2,5,23,+6
6,Jagiellonia,15,7,2,6,23,0
1,Sporting CP,15,12,3,0,39,+24
2,Porto,15,11,2,2,35,+20
3,Benfica,15,10,3,2,33,+15
4,Braga,15,10,0,5,30,+9
5,Vitória,15,9,2,4,29,+7
6,Paços,15,8,4,3,28,+10
1,FCSB,20,14,3,3,45,+28
2,CFR Cluj,19,12,5,2,41,+17
3,U Craiova,20,10,7,3,37,+10
4,Sepsi,20,8,9,3,33,+13
5,Clinceni,20,7,9,4,30,+4
6,Chindia,19,7,7,5,28,+2
1,Zenit,19,12,5,2,41,+28
2,CSKA Moscow,19,11,4,4,37,+18
3,Spartak Moscow,19,10,5,4,35,+12
4,Sochi,19,9,6,4,33,+6
5,Rostov,19,10,2,7,32,+4
6,Dynamo Mosc,19,9,3,7,30,+3
1,Al-Shabab,16,9,5,2,32,+9
2,Al-Hilal,15,8,6,1,30,+14
3,Al-Ahli,16,9,3,4,30,+3
4,Al-Taawoun,16,6,7,3,25,+8
5,Al-Ittihad,16,6,7,3,25,+3
6,Al-Ettifaq,16,7,3,6,24,+1
1,Rangers,26,23,3,0,72,+59
2,Celtic,24,14,7,3,49,+31
3,Aberdeen,25,12,8,5,44,+7
4,Hibernian,26,12,7,7,43,+10
5,Livingston,25,10,6,9,36,+3
6,St Mirren,23,8,5,10,29,-3
1,Red Star,19,17,2,0,53,+44
2,Partizan,19,14,2,3,44,+30
3,Vojvodina,19,13,3,3,42,+18
4,Čukarički,19,10,5,4,35,+21
5,Spartak Subotic,19,10,3,6,33,+13
6,Proleter NS,19,9,5,5,32,+3
1,Mamelodi Sundowns,15,9,6,0,33,+17
2,SuperSport United,14,8,4,2,28,+10
3,Moroka Swallows,14,7,7,0,28,+9
4,Orlando Pirates,15,6,7,2,25,+5
5,Cape Town City,14,6,5,3,23,+5
6,Lamontville Golden Arrows,13,5,7,1,22,+5
1,Malmö,30,17,9,4,60,+34
2,Elfsborg,30,12,15,3,51,+11
3,Häcken,30,12,13,5,49,+16
4,Djurgården,30,14,6,10,48,+15
5,Mjällby,30,13,8,9,47,+4
6,Norrköping,30,13,7,10,46,+14
1,Young Boys,16,10,5,1,35,+13
2,Basel,17,8,3,6,27,+2
3,Zürich,17,7,4,6,25,+6
4,Lugano,16,5,9,2,24,+2
5,St. Gallen,16,6,5,5,23,+1
6,Lausanne-Sport,16,5,5,6,20,0
