Liga Santander,jornada-23,Real Madrid,Valencia,16:15 14/02,16:15 14/02
Liga Santander,jornada-23,Eibar,Valladolid,18:30 14/02,18:30 14/02
Liga Santander,jornada-23,Villarreal,Betis,21:00 14/02,21:00 14/02
Liga Santander,jornada-23,Cádiz,Athletic,21:00 15/02,21:00 15/02
Liga Santander,jornada-24,Atlético,Levante,Por definir,Por definir
Liga Santander,jornada-24,FC Barcelona,Cádiz,Por definir,Por definir
Liga Santander,jornada-24,Osasuna,Sevilla,Por definir,Por definir
Liga Santander,jornada-24,Elche,Eibar,Por definir,Por definir
Liga Santander,jornada-24,Betis,Getafe,Por definir,Por definir
Liga Santander,jornada-24,Valencia,Celta,Por definir,Por definir
Liga Santander,jornada-24,Athletic,Villarreal,Por definir,Por definir
Liga Santander,jornada-24,Valladolid,Real Madrid,Por definir,Por definir
Liga Santander,jornada-24,Huesca,Granada,Por definir,Por definir
Liga Santander,jornada-24,R. Sociedad,Alavés,Por definir,Por definir
Liga Santander,jornada-25,Cádiz,Betis,Por definir,Por definir
Liga Santander,jornada-25,Villarreal,Atlético,Por definir,Por definir
Liga Santander,jornada-25,Sevilla,FC Barcelona,Por definir,Por definir
Liga Santander,jornada-25,Celta,Valladolid,Por definir,Por definir
Liga Santander,jornada-25,Levante,Athletic,Por definir,Por definir
Liga Santander,jornada-25,Real Madrid,R. Sociedad,Por definir,Por definir
Liga Santander,jornada-25,Getafe,Valencia,Por definir,Por definir
Liga Santander,jornada-25,Alavés,Osasuna,Por definir,Por definir
Liga Santander,jornada-25,Eibar,Huesca,Por definir,Por definir
Liga Santander,jornada-25,Granada,Elche,Por definir,Por definir
Liga Santander,jornada-26,R. Sociedad,Levante,Por definir,Por definir
Liga Santander,jornada-26,Elche,Sevilla,Por definir,Por definir
Liga Santander,jornada-26,Atlético,Real Madrid,Por definir,Por definir
Liga Santander,jornada-26,Betis,Alavés,Por definir,Por definir
Liga Santander,jornada-26,Valladolid,Getafe,Por definir,Por definir
Liga Santander,jornada-26,Cádiz,Eibar,Por definir,Por definir
Liga Santander,jornada-26,Huesca,Celta,Por definir,Por definir
Liga Santander,jornada-26,Valencia,Villarreal,Por definir,Por definir
Liga Santander,jornada-26,Athletic,Granada,Por definir,Por definir
Liga Santander,jornada-26,Osasuna,FC Barcelona,Por definir,Por definir
Liga Santander,jornada-27,Alavés,Cádiz,Por definir,Por definir
Liga Santander,jornada-27,Granada,R. Sociedad,Por definir,Por definir
