Poscicion,Temporada,Conferencia,Equipo,Victorias,Derrotas,V/D,PuntosPorJuego,PuntosRecibidosPorJuego,SRS
11,2018-2019,este,Washington Wizards,32,50,.390,114.0,116.9,-3.30
12,2018-2019,este,Atlanta Hawks,29,53,.354,113.3,119.4,-6.06
13,2018-2019,este,Chicago Bulls,22,60,.268,104.9,113.4,-8.32
14,2018-2019,este,Cleveland Cavaliers,19,63,.232,104.5,114.1,-9.39
15,2018-2019,este,New York Knicks,17,65,.207,104.6,113.8,-8.93
1,2018-2019,oeste,Golden State Warriors*,57,25,.695,117.7,111.2,6.42
2,2018-2019,oeste,Denver Nuggets*,54,28,.659,110.7,106.7,4.19
3,2018-2019,oeste,Portland Trail Blazers*,53,29,.646,114.7,110.5,4.43
4,2018-2019,oeste,Houston Rockets*,53,29,.646,113.9,109.1,4.96
5,2018-2019,oeste,Utah Jazz*,50,32,.610,111.7,106.5,5.28
6,2018-2019,oeste,Oklahoma City Thunder*,49,33,.598,114.5,111.1,3.56
7,2018-2019,oeste,San Antonio Spurs*,48,34,.585,111.7,110.0,1.80
8,2018-2019,oeste,Los Angeles Clippers*,48,34,.585,115.1,114.3,1.09
9,2018-2019,oeste,Sacramento Kings,39,43,.476,114.2,115.3,-0.81
10,2018-2019,oeste,Los Angeles Lakers,37,45,.451,111.8,113.5,-1.33
11,2018-2019,oeste,Minnesota Timberwolves,36,46,.439,112.5,114.0,-1.02
12,2018-2019,oeste,Memphis Grizzlies,33,49,.402,103.5,106.1,-2.08
13,2018-2019,oeste,New Orleans Pelicans,33,49,.402,115.4,116.8,-1.10
14,2018-2019,oeste,Dallas Mavericks,33,49,.402,108.9,110.1,-0.87
15,2018-2019,oeste,Phoenix Suns,19,63,.232,107.5,116.8,-8.61
1,2019-2020,este,Milwaukee Bucks*,56,17,.767,118.7,108.6,9.41
2,2019-2020,este,Toronto Raptors*,53,19,.736,112.8,106.5,5.97
3,2019-2020,este,Boston Celtics*,48,24,.667,113.7,107.3,5.83
4,2019-2020,este,Indiana Pacers*,45,28,.616,109.4,107.5,1.63
5,2019-2020,este,Miami Heat*,44,29,.603,112.0,109.1,2.59
6,2019-2020,este,Philadelphia 76ers*,43,30,.589,110.7,108.4,2.25
7,2019-2020,este,Brooklyn Nets*,35,37,.486,111.8,112.3,-1.01
8,2019-2020,este,Orlando Magic*,33,40,.452,107.3,108.3,-0.93
9,2019-2020,este,Charlotte Hornets,23,42,.354,102.9,109.6,-7.03
10,2019-2020,este,Washington Wizards,25,47,.347,114.4,119.1,-5.24
11,2019-2020,este,Chicago Bulls,22,43,.338,106.8,109.9,-4.00
12,2019-2020,este,New York Knicks,21,45,.318,105.8,112.3,-6.72
13,2019-2020,este,Detroit Pistons,20,46,.303,107.2,110.8,-4.38
14,2019-2020,este,Atlanta Hawks,20,47,.299,111.8,119.7,-7.71
15,2019-2020,este,Cleveland Cavaliers,19,46,.292,106.9,114.8,-7.77
1,2019-2020,oeste,Los Angeles Lakers*,52,19,.732,113.4,107.6,6.28
2,2019-2020,oeste,Los Angeles Clippers*,49,23,.681,116.3,109.9,6.66
3,2019-2020,oeste,Denver Nuggets*,46,27,.630,111.3,109.2,2.35
4,2019-2020,oeste,Houston Rockets*,44,28,.611,117.8,114.8,3.13
5,2019-2020,oeste,Oklahoma City Thunder*,44,28,.611,110.4,108.4,2.33
6,2019-2020,oeste,Utah Jazz*,44,28,.611,111.3,108.8,2.52
7,2019-2020,oeste,Dallas Mavericks*,43,32,.573,117.0,112.1,4.87
8,2019-2020,oeste,Portland Trail Blazers*,35,39,.473,115.0,116.1,-0.61
9,2019-2020,oeste,Memphis Grizzlies,34,39,.466,112.6,113.7,-0.91
10,2019-2020,oeste,Phoenix Suns,34,39,.466,113.6,113.4,0.56
11,2019-2020,oeste,San Antonio Spurs,32,39,.451,114.1,115.2,-0.65
12,2019-2020,oeste,Sacramento Kings,31,41,.431,110.1,112.1,-1.59
13,2019-2020,oeste,New Orleans Pelicans,30,42,.417,115.8,117.1,-0.55
14,2019-2020,oeste,Minnesota Timberwolves,19,45,.297,113.3,117.5,-4.02
15,2019-2020,oeste,Golden State Warriors,15,50,.231,106.3,115.0,-8.12
