Temporada,Conferencia,Equipo,Victorias,Derrotas,V/D,PuntosPorJuego,PuntosRecibidosPorJuego,SRS
2016-2017,este,Detroit Pistons,37,45,.451,101.3,102.5,-1.29
2016-2017,este,Charlotte Hornets,36,46,.439,104.9,104.7,-0.07
2016-2017,este,New York Knicks,31,51,.378,104.3,108.0,-3.87
2016-2017,este,Orlando Magic,29,53,.354,101.1,107.6,-6.61
2016-2017,este,Philadelphia 76ers,28,54,.341,102.4,108.1,-5.83
2016-2017,este,Brooklyn Nets,20,62,.244,105.8,112.5,-6.74
2016-2017,oeste,Golden State Warriors*,67,15,.817,115.9,104.3,11.35
2016-2017,oeste,San Antonio Spurs*,61,21,.744,105.3,98.1,7.13
2016-2017,oeste,Houston Rockets*,55,27,.671,115.3,109.6,5.84
2016-2017,oeste,Los Angeles Clippers*,51,31,.622,108.7,104.4,4.42
2016-2017,oeste,Utah Jazz*,51,31,.622,100.7,96.8,4.00
2016-2017,oeste,Oklahoma City Thunder*,47,35,.573,106.6,105.8,1.14
2016-2017,oeste,Memphis Grizzlies*,43,39,.524,100.5,100.0,0.96
2016-2017,oeste,Portland Trail Blazers*,41,41,.500,107.9,108.5,-0.23
2016-2017,oeste,Denver Nuggets,40,42,.488,111.7,111.2,0.70
2016-2017,oeste,New Orleans Pelicans,34,48,.415,104.3,106.4,-1.69
2016-2017,oeste,Dallas Mavericks,33,49,.402,97.9,100.8,-2.53
2016-2017,oeste,Sacramento Kings,32,50,.390,102.8,106.7,-3.29
2016-2017,oeste,Minnesota Timberwolves,31,51,.378,105.6,106.7,-0.64
2016-2017,oeste,Los Angeles Lakers,26,56,.317,104.6,111.5,-6.29
2016-2017,oeste,Phoenix Suns,24,58,.293,107.7,113.3,-5.14
2015-2016,este,Cleveland Cavaliers*,57,25,.695,104.3,98.3,5.45
2015-2016,este,Toronto Raptors*,56,26,.683,102.7,98.2,4.08
2015-2016,este,Miami Heat*,48,34,.585,100.0,98.4,1.50
2015-2016,este,Atlanta Hawks*,48,34,.585,102.8,99.2,3.49
2015-2016,este,Boston Celtics*,48,34,.585,105.7,102.5,2.84
2015-2016,este,Charlotte Hornets*,48,34,.585,103.4,100.7,2.36
2015-2016,este,Indiana Pacers*,45,37,.549,102.2,100.5,1.62
2015-2016,este,Detroit Pistons*,44,38,.537,102.0,101.4,0.43
